"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 23:45:09 GMT 2024","Fri Jan 05 23:45:11 GMT 2024","2196","tests","test_contact_us","TestContactUsPage","","","test_contact_us_form",""
"passed","Fri Jan 05 23:45:24 GMT 2024","Fri Jan 05 23:45:25 GMT 2024","984","tests","test_login_signup","TestLoginSignupPage","","","test_logout_user",""
"passed","Fri Jan 05 23:45:20 GMT 2024","Fri Jan 05 23:45:21 GMT 2024","1636","tests","test_login_signup","TestLoginSignupPage","","","test_login_user_with_correct_email_and_password",""
"passed","Fri Jan 05 23:45:12 GMT 2024","Fri Jan 05 23:45:14 GMT 2024","2051","tests","test_home","TestHomePage","","","test_verify_subscription_in_home_page",""
"passed","Fri Jan 05 23:45:30 GMT 2024","Fri Jan 05 23:45:30 GMT 2024","629","tests","test_products","TestProductsPage","","","test_search_product",""
"passed","Fri Jan 05 23:45:28 GMT 2024","Fri Jan 05 23:45:29 GMT 2024","715","tests","test_products","TestProductsPage","","","test_verify_all_products_and_product_detail_page",""
"passed","Fri Jan 05 23:45:07 GMT 2024","Fri Jan 05 23:45:08 GMT 2024","640","tests","test_cases","TestCasesPage","","","test_verify_test_cases_page",""
"passed","Fri Jan 05 23:45:15 GMT 2024","Fri Jan 05 23:45:19 GMT 2024","3715","tests","test_login_signup","TestLoginSignupPage","","","test_register_user",""
"passed","Fri Jan 05 23:45:22 GMT 2024","Fri Jan 05 23:45:23 GMT 2024","645","tests","test_login_signup","TestLoginSignupPage","","","test_login_user_with_incorrect_email_and_password",""
"passed","Fri Jan 05 23:45:26 GMT 2024","Fri Jan 05 23:45:27 GMT 2024","588","tests","test_login_signup","TestLoginSignupPage","","","test_register_user_with_existing_email",""
